38 Provinsi,,,
,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2024,2024,2024
ACEH,92.6,86.97,88.95
SUMATERA UTARA,94.77,89.05,92.3
SUMATERA BARAT,94.85,88.82,91.89
RIAU,97.26,92.12,94.16
JAMBI,93.01,89.41,90.59
SUMATERA SELATAN,94.82,88.72,90.94
BENGKULU,95.83,88.05,90.62
LAMPUNG,93.84,90.45,91.57
KEP. BANGKA BELITUNG,93.09,90.77,92.14
KEP. RIAU,98.68,87.65,97.57
DKI JAKARTA,98.18,-,98.18
JAWA BARAT,92.83,82.2,90.58
JAWA TENGAH,91.12,86.44,88.89
DI YOGYAKARTA,91.71,82.34,89.5
JAWA TIMUR,90.64,82.22,86.9
BANTEN,94.98,84.91,93.02
BALI,94.74,85.25,92.16
NUSA TENGGARA BARAT,89.12,83.74,86.54
NUSA TENGGARA TIMUR,94.88,77.81,82.45
KALIMANTAN BARAT,96.47,90.31,92.65
KALIMANTAN TENGAH,96.46,88.79,92.13
KALIMANTAN SELATAN,92.04,86.44,89.22
KALIMANTAN TIMUR,96.69,92.74,95.45
KALIMANTAN UTARA,97.38,89.44,94.58
SULAWESI UTARA,92.57,85.19,89.31
SULAWESI TENGAH,94.62,84.59,87.94
SULAWESI SELATAN,96.23,88.59,92.18
SULAWESI TENGGARA,94.65,89.78,91.7
GORONTALO,94.25,86.61,90.17
SULAWESI BARAT,93.89,88.64,89.67
MALUKU,95.72,80.4,87.27
MALUKU UTARA,96.21,83.39,87.28
PAPUA BARAT,97.26,80.47,85.51
PAPUA BARAT DAYA,96.31,79.71,88.49
PAPUA,93.93,63.9,81.99
PAPUA SELATAN,90.76,51.7,65.71
PAPUA TENGAH,95,19.14,36.08
PAPUA PEGUNUNGAN,54.5,8.81,12.15
INDONESIA,93.38,84.61,89.76
